doc_id,ref,sent_index,skill_digit,inference_reason,confidence
special-mission-aviator-ca90ad358d,2.1,2,5,verbs=configures,medium
special-mission-aviator-ca90ad358d,2.1,3,5,verbs=coordinates,medium
special-mission-aviator-ca90ad358d,2.1,3,7,verbs=coordinates,medium
special-mission-aviator-ca90ad358d,2.1,3,9,verbs=coordinates,medium
special-mission-aviator-ca90ad358d,2.1,4,1,verbs=monitors|operates,medium
special-mission-aviator-ca90ad358d,2.1,4,3,verbs=monitors|operates,medium
special-mission-aviator-ca90ad358d,2.1,4,5,verbs=monitors|operates,medium
special-mission-aviator-ca90ad358d,2.1,4,7,verbs=monitors|operates,medium
special-mission-aviator-ca90ad358d,2.1,5,1,verbs=monitors|performs,medium
special-mission-aviator-ca90ad358d,2.1,5,3,verbs=monitors|performs,medium
special-mission-aviator-ca90ad358d,2.1,5,5,verbs=monitors|performs,medium
special-mission-aviator-ca90ad358d,2.1,5,7,verbs=monitors|performs,medium
special-mission-aviator-ca90ad358d,2.1,6,1,verbs=operates,medium
special-mission-aviator-ca90ad358d,2.1,6,3,verbs=operates,medium
special-mission-aviator-ca90ad358d,2.1,6,5,verbs=operates,medium
special-mission-aviator-ca90ad358d,2.1,7,1,,low
special-mission-aviator-ca90ad358d,2.1,7,3,,low
special-mission-aviator-ca90ad358d,2.1,7,5,,low
special-mission-aviator-ca90ad358d,2.1,8,3,verbs=analyzes|determines,medium
special-mission-aviator-ca90ad358d,2.1,8,5,verbs=analyzes|determines,medium
special-mission-aviator-ca90ad358d,2.1,8,7,verbs=analyzes|determines,medium
