doc_id,cem_code,afsc_title,afsc_codes,afsc_families,skill_digits,skill_labels
infrastructure-systems-c8b78b7980,,INFRASTRUCTURE SYSTEMS,3E490;3E431;3E411,3E4,1;3;9,helper;apprentice;superintendent
water-and-fuel-systems-maintenance-b9fb292c31,,WATER AND FUEL SYSTEMS MAINTENANCE,3E473;3E453;3E433;3E413,3E4,1;3;5;7,helper;apprentice;journeyman;craftsman
pest-management-8b36a47ecf,3E000,PEST MANAGEMENT,3E591;3E571;3E551;3E531;3E511,3E5,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
engineering-f827cbefc4,3E000,ENGINEERING,3E691;3E671;3E651;3E631;3E611,3E6,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
operations-management-554fd93be4,3E700,OPERATIONS MANAGEMENT,3E791;3E771;3E751;3E731;3E711,3E7,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
fire-protection-df29116934,3E800,FIRE PROTECTION,3E891;3E871;3E851;3E831;3E811,3E8,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
explosive-ordnance-disposal-08bf7a587b,,EXPLOSIVE ORDNANCE DISPOSAL,,,,
x-x-x-x-x-5ed9799c18,3E900,X X X X X,3E991;3E971;3E951;3E931;3E911,3E9,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
emergency-management-127fdcde5a,3F000,EMERGENCY MANAGEMENT,3F091;3F071;3F051;3F031;3F011,3F0,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
personnel-44eb30b843,3F100,PERSONNEL,3F191;3F171;3F151;3F131;3F111,3F1,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
services-a9837611c5,,SERVICES,3F291;3F271;3F251;3F231;3F211,3F2,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
education-and-training-ecfffa6219,3F300,EDUCATION AND TRAINING,3F391;3F371;3F351;3F331;3F311,3F3,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
manpower-b2b8d6049f,3F400,MANPOWER,3F491;3F471;3F431;3F411,3F4,1;3;7;9,helper;journeyman;craftsman;superintendent
equal-opportunity-189af20d27,3F500,EQUAL OPPORTUNITY,3F591;3F571;3F551;3F531;3F511,3F5,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
administration-9832216a98,3G000,ADMINISTRATION,3G091;3G071;3G051;3G031;3G011,3G0,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
talent-acquisition-f7678b40f5,,TALENT ACQUISITION,,,,
historian-career-field-6754c77750,,HISTORIAN CAREER FIELD,3H091;3H071;3H051;3H031;3H011,3H0,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
historian-35405d2d74,,HISTORIAN,,,,
public-affairs-career-field-f86d342eca,3N000,PUBLIC AFFAIRS CAREER FIELD,3N090,3N0,9,superintendent
public-affairs-b25299cf07,,PUBLIC AFFAIRS,3N090;3N076;3N056;3N036;3N016,3N0,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
public-affairs-121f40b568,3N100,PUBLIC AFFAIRS,3N191;3N171*;3N151*;3N131*;3N111*,3N1,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
regional-band-63c8aa4d5f,3N200,REGIONAL BAND,3N291;3N271;3N251,3N2,5;7;9,journeyman;craftsman;superintendent
premier-band-the-usaf-band-f3ff67885a,3N300,PREMIER BAND -THE USAF BAND,3N391;3N371;3N351,3N3,5;7;9,journeyman;craftsman;superintendent
premier-band-the-usaf-academy-band-0b12318f74,,PREMIER BAND -THE USAF ACADEMY BAND,,,,
security-forces-career-field-891fde6065,3P000,SECURITY FORCES CAREER FIELD,3P091;3P071*,3P0,7;9,craftsman;superintendent
security-forces-1962627fb5,,SECURITY FORCES,,,,
medical-career-field-087a04fe81,4A000,MEDICAL CAREER FIELD,4A091;4A071*;4A051*;4A031;4A011,4A0,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
health-services-management-04544b0bb6,4A100,HEALTH SERVICES MANAGEMENT,4A191;4A171;4A151;4A131;4A111,4A1,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
medical-materiel-128b2453d8,4A200,MEDICAL MATERIEL,4A291;4A271;4A251;4A231;4A211,4A2,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
biomedical-equipment-76111cfa1d,4B000,BIOMEDICAL EQUIPMENT,4B091;4B071;4B051;4B031;4B011,4B0,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
