doc_id,ref,sent_index,text_for_embedding,metadata_json
mobility-force-aviator-27bd37197c,2.6,36,"[MOBILITY FORCE AVIATOR | Duty 2.6 | Skills: 1,3,5] Ensures availability of fleet service equipment and receives and stows in-flight meals.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A193*"", ""1A173*"", ""1A153*"", ""1A133*"", ""1A113""], ""ref"": ""2.6"", ""sent_index"": 36, ""skill_digits"": [""1"", ""3"", ""5""]}"
mobility-force-aviator-27bd37197c,2.6,37,"[MOBILITY FORCE AVIATOR | Duty 2.6 | Skills: 1,3,5] Accomplishes passenger briefings to include the use of emergency equipment, evacuation procedures, and border clearance requirements.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A193*"", ""1A173*"", ""1A153*"", ""1A133*"", ""1A113""], ""ref"": ""2.6"", ""sent_index"": 37, ""skill_digits"": [""1"", ""3"", ""5""]}"
mobility-force-aviator-27bd37197c,2.6,38,"[MOBILITY FORCE AVIATOR | Duty 2.6 | Skills: 1,3,5] Demonstrates the use of passenger emergency oxygen systems and life vests.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A193*"", ""1A173*"", ""1A153*"", ""1A133*"", ""1A113""], ""ref"": ""2.6"", ""sent_index"": 38, ""skill_digits"": [""1"", ""3"", ""5""]}"
mobility-force-aviator-27bd37197c,2.6,39,"[MOBILITY FORCE AVIATOR | Duty 2.6 | Skills: 7,9] Supervises passengers in-flight.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A193*"", ""1A173*"", ""1A153*"", ""1A133*"", ""1A113""], ""ref"": ""2.6"", ""sent_index"": 39, ""skill_digits"": [""7"", ""9""]}"
mobility-force-aviator-27bd37197c,2.6,40,"[MOBILITY FORCE AVIATOR | Duty 2.6 | Skills: 1,3,5] Performs jumpmaster duties.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A193*"", ""1A173*"", ""1A153*"", ""1A133*"", ""1A113""], ""ref"": ""2.6"", ""sent_index"": 40, ""skill_digits"": [""1"", ""3"", ""5""]}"
mobility-force-aviator-27bd37197c,2.7,41,"[MOBILITY FORCE AVIATOR | Duty 2.7 | Skills: 1,3,5] Conducts cargo and personnel airdrops according to directives.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A193*"", ""1A173*"", ""1A153*"", ""1A133*"", ""1A113""], ""ref"": ""2.7"", ""sent_index"": 41, ""skill_digits"": [""1"", ""3"", ""5""]}"
mobility-force-aviator-27bd37197c,2.7,42,"[MOBILITY FORCE AVIATOR | Duty 2.7 | Skills: 1,3,5] Attaches extraction parachutes to cargo and platforms.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A193*"", ""1A173*"", ""1A153*"", ""1A133*"", ""1A113""], ""ref"": ""2.7"", ""sent_index"": 42, ""skill_digits"": [""1"", ""3"", ""5""]}"
mobility-force-aviator-27bd37197c,2.7,43,"[MOBILITY FORCE AVIATOR | Duty 2.7 | Skills: 1,3,5] Inspects cargo and platforms, extraction systems and connects static lines.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A193*"", ""1A173*"", ""1A153*"", ""1A133*"", ""1A113""], ""ref"": ""2.7"", ""sent_index"": 43, ""skill_digits"": [""1"", ""3"", ""5""]}"
mobility-force-aviator-27bd37197c,2.7,44,"[MOBILITY FORCE AVIATOR | Duty 2.7 | Skills: 1,3,5] Checks tiedowns, parachutes, containers, suspension systems, and extraction systems to ensure proper cargo extraction or release.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A193*"", ""1A173*"", ""1A153*"", ""1A133*"", ""1A113""], ""ref"": ""2.7"", ""sent_index"": 44, ""skill_digits"": [""1"", ""3"", ""5""]}"
mobility-force-aviator-27bd37197c,2.7,45,"[MOBILITY FORCE AVIATOR | Duty 2.7 | Skills: 1,3,5,7,9] Operates aircraft airdrop systems and supervises cargo and paratroopers exiting the aircraft.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A193*"", ""1A173*"", ""1A153*"", ""1A133*"", ""1A113""], ""ref"": ""2.7"", ""sent_index"": 45, ""skill_digits"": [""1"", ""3"", ""5"", ""7"", ""9""]}"
